Process Capture Log - 20260313_230324
--------------------------------------------------------------------------------
PID        Name                      Status          User                
19060      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
19324      CCLibrary.exe             running         DESKTOP-6HBDP9T\JMD 
19408      ShellHost.exe             running         DESKTOP-6HBDP9T\JMD 
19464      svchost.exe               running         None                
19828      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
19900      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
20056      conhost.exe               running         DESKTOP-6HBDP9T\JMD 
20628      conhost.exe               running         DESKTOP-6HBDP9T\JMD 
20656      AdobeIPCBroker.exe        running         DESKTOP-6HBDP9T\JMD 
20796      python3.11.exe            running         DESKTOP-6HBDP9T\JMD 
20800      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
21088      conhost.exe               running         DESKTOP-6HBDP9T\JMD 
21408      RuntimeBroker.exe         running         DESKTOP-6HBDP9T\JMD 
21480      svchost.exe               running         DESKTOP-6HBDP9T\JMD 
21652      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
22040      svchost.exe               running         None                
22088      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
22104      RuntimeBroker.exe         running         DESKTOP-6HBDP9T\JMD 
22356      conhost.exe               running         DESKTOP-6HBDP9T\JMD 
22520      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
22728      chrome.exe                running         DESKTOP-6HBDP9T\JMD 
22980      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
22984      FileCoAuth.exe            running         DESKTOP-6HBDP9T\JMD 
23296      WhatsApp.Root.exe         running         DESKTOP-6HBDP9T\JMD 
23392      svchost.exe               running         None                
23408      msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
